trials.thisTrialN,trials.stepSize,trials.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,key_resp.corr,tilt,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,18.939961299998686,19.478531000000658,19.478531000000658,19.49640649999492,19.780400299991015,left,1,-10.0,1,0.529238000017358,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
1,2,8.0,20.031202399986796,20.515285899979062,20.515285899979062,20.531684899993706,20.81573919998482,right,1,8.0,1,0.5268616999965161,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
2,2,6.0,21.065818399976706,21.549611399997957,21.549611399997957,21.566168099991046,21.849937199993292,right,1,6.0,1,0.6731637999764644,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
3,2,4.0,22.250034500000766,22.750714800000424,22.750714800000424,22.750714800000424,23.051296599995112,right,1,4.0,1,0.7139276000089012,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
4,2,2.0,23.484866199985845,23.985371099988697,23.985371099988697,23.985371099988697,24.286077099997783,right,0,2.0,0,1.9240485000191256,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
5,2,4.0,25.937593299982836,26.43836359999841,26.43836359999841,26.43836359999841,26.73848229998839,left,1,-4.0,1,0.7008009000273887,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
6,2,4.0,27.155545599991456,27.656239399977494,27.656239399977494,27.656239399977494,27.957259999995586,right,1,4.0,1,0.6685607999970671,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
7,1,4.0,28.356941399979405,28.857241499994416,28.857241499994416,28.857241499994416,29.157979599985993,right,1,4.0,1,0.6939307000138797,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
8,1,3.0,29.575016399991,30.058699399989564,30.058699399989564,30.075336999987485,30.35919209997519,left,1,-3.0,1,0.722490399988601,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
9,1,3.0,30.809599300002446,31.29320970000117,31.29320970000117,31.310561499994947,31.593637899990426,left,1,-3.0,1,0.6885244000004604,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
10,1,3.0,32.010716399992816,32.494747999997344,32.494747999997344,32.511083999997936,32.794941799977096,left,1,-3.0,1,0.677652999991551,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
11,1,2.0,33.195232999976724,33.69598639998003,33.69598639998003,33.69598639998003,33.99645179999061,right,1,2.0,1,0.6662523999984842,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
12,1,2.0,34.38027399999555,34.88059769998654,34.88059769998654,34.88059769998654,35.18110539999907,right,1,2.0,1,0.6844279999786522,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
13,1,2.0,35.58136509999167,36.08212849998381,36.08212849998381,36.08212849998381,36.38212759999442,left,1,-2.0,1,0.6161150999832898,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
14,1,1.0,36.71622329999809,37.216711999994004,37.216711999994004,37.216711999994004,37.51657929999055,right,1,1.0,1,0.6221823000232689,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
15,1,1.0,37.86758849999751,38.35104389998014,38.35104389998014,38.36757370000123,38.65111249999609,left,1,-1.0,1,0.5729693000030238,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
16,1,1.0,38.953149899985874,39.452215099998284,39.452215099998284,39.46893360000104,39.75301109999418,left,1,-1.0,1,0.8477973000262864,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
17,1,1.0,40.320265499991365,40.80384569999296,40.80384569999296,40.82064229997923,41.10414409998339,left,1,-1.0,1,0.7569581000134349,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
18,1,1.0,41.58827169999131,42.07204499997897,42.07204499997897,42.08872849997715,42.37227539997548,right,1,1.0,1,0.7748444000026211,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
