instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,explicit.started,slider.started,text.started,explicit.stopped,slider.response,slider.rt,instruction.started,instructionsBox.started,leftCategoryLabel_2.started,rightCategoryLabel_2.started,leftAttributeLabel_2.started,rightAttributeLabel_2.started,orLeft_2.started,orRight_2.started,instructionsKey.started,instruction.stopped,trial.started,leftCategoryLabel.started,rightCategoryLabel.started,leftAttributeLabel.started,rightAttributeLabel.started,orLeft.started,orRight.started,stimulusImageBox.started,stimulusTextBox.started,requiredResponse.started,feedbackResponse.started,feedback.started,trial.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.duration,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,feedbackResponse.duration,end.started,endBox.started,end.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,expStart,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,0,0,0,1,10.057683099992573,,0.01365920016542077,0.11391620012000203,0.11391620012000203,5.976884900126606,5.93125,5.920032100053504,6.007091799983755,6.7551421001553535,6.7551421001553535,6.7551421001553535,6.7551421001553535,6.7551421001553535,6.7551421001553535,6.7551421001553535,8.74161670007743,9.995167399989441,10.022103500086814,10.057683099992573,10.057683099992573,10.057683099992573,10.057683099992573,10.057683099992573,10.057683099992573,10.341106500010937,10.341106500010937,10.341106500010937,10.341106500010937,10.341106500010937,11.463208800181746,e,1,1.1094291999470443,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,0,1,1,0,11.493151200003922,,,,,,,,,,,,,,,,,,11.46506300009787,11.493151200003922,11.493151200003922,11.493151200003922,11.493151200003922,11.493151200003922,11.493151200003922,11.777700599981472,11.777700599981472,11.777700599981472,11.777700599981472,11.777700599981472,12.331124600023031,i,1,0.5472005000337958,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,0,2,0,12.361954000080004,,,,,,,,,,,,,,,,,,12.332403599983081,12.361954000080004,12.361954000080004,12.361954000080004,12.361954000080004,12.361954000080004,12.361954000080004,12.661227400181815,12.661227400181815,12.661227400181815,12.661227400181815,12.661227400181815,13.150032100034878,i,1,0.4765860000625253,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,1,1,3,0,13.177964500151575,,,,,,,,,,,,,,,,,,13.151310299988836,13.177964500151575,13.177964500151575,13.177964500151575,13.177964500151575,13.177964500151575,13.177964500151575,13.462832400109619,13.462832400109619,13.462832400109619,13.462832400109619,13.462832400109619,13.981574299978092,i,1,0.5095861000008881,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,2,0,4,1,14.013053599977866,,,,,,,,,,,,,,,,,,13.982843500096351,14.013053599977866,14.013053599977866,14.013053599977866,14.013053599977866,14.013053599977866,14.013053599977866,14.296959300059825,14.296959300059825,14.296959300059825,14.296959300059825,14.296959300059825,14.882423300063238,e,1,0.5696295998059213,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,2,1,5,0,14.914074100088328,,,,,,,,,,,,,,,,,,14.883835700107738,14.914074100088328,14.914074100088328,14.914074100088328,14.914074100088328,14.914074100088328,14.914074100088328,15.213160100160167,15.213160100160167,15.213160100160167,15.213160100160167,15.213160100160167,15.867185699986294,i,1,0.626923699863255,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,3,0,6,1,15.898204400204122,,,,,,,,,,,,,,,,,,15.868464000057429,15.898204400204122,15.898204400204122,15.898204400204122,15.898204400204122,15.898204400204122,15.898204400204122,16.19922629999928,16.19922629999928,16.19922629999928,16.19922629999928,16.19922629999928,16.801786200143397,e,1,0.5858975001610816,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,3,1,7,0,16.832688100170344,,,,,,,,,,,,,,,,,,16.803177500143647,16.832688100170344,16.832688100170344,16.832688100170344,16.832688100170344,16.832688100170344,16.832688100170344,17.117614299990237,17.117614299990237,17.117614299990237,17.117614299990237,17.117614299990237,17.802409900119528,i,1,0.6572910000104457,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,0,8,0,17.833535999991,,,,,,,,,,,,,,,,,,17.803751200204715,17.833535999991,17.833535999991,17.833535999991,17.833535999991,17.833535999991,17.833535999991,18.118074900005013,18.118074900005013,18.118074900005013,18.118074900005013,18.118074900005013,18.820859300205484,i,1,0.688332200050354,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,4,1,9,0,18.8519532000646,,,,,,,,,,,,,,,,,,18.82226869999431,18.8519532000646,18.8519532000646,18.8519532000646,18.8519532000646,18.8519532000646,18.8519532000646,19.15163110010326,19.15163110010326,19.15163110010326,19.15163110010326,19.15163110010326,19.6892868001014,i,1,0.5266690000426024,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Disabled,Abled, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,5,0,10,1,19.719250000081956,,,,,,,,,,,,,,,,,,19.69056890020147,19.719250000081956,19.719250000081956,19.719250000081956,19.719250000081956,19.719250000081956,19.719250000081956,20.019459699979052,20.019459699979052,20.019459699979052,20.019459699979052,20.019459699979052,20.70518200006336,e,1,0.6582140000537038,None,None,0,,,,,,male,18,00001,2023-11-30_18h26.06.013,IAT,2023.2.3,59.7578610840458,2023-11-30 18h26.27.745302 +0530,
