reward_today,future_reward,delay,key_resp.keys,k,geomean
84,85,8,t,0.886904762,1.068789923
12,14,4,t,0.916666667,
82,84,10,t,0.924390244,
83,85,15,t,0.957429719,
83,85,25,t,0.984096386,
46,47,46,t,1,
67,68,141,t,1.007833175,
52,53,164,t,1.013133208,
35,38,14,t,1.014285714,
80,82,108,t,1.015740741,
36,37,91,t,1.016788767,
38,39,107,t,1.016969995,
31,32,77,t,1.019271052,
77,79,161,t,1.019762846,
32,33,161,t,1.02503882,
52,54,114,t,1.029689609,
79,82,121,t,1.029710221,
73,76,99,t,1.03099488,
71,74,138,t,1.035007144,
37,39,62,t,1.037925022,
79,85,29,t,1.041466608,
35,37,67,t,1.042217484,
70,74,68,t,1.042436975,
59,62,178,t,1.04522948,
30,32,153,t,1.060130719,
29,31,143,t,1.06197251,
70,75,124,t,1.063364055,
69,74,167,t,1.066475744,
78,84,172,l,1.071109123,
56,61,89,t,1.078049759,
75,82,108,t,1.084074074,
11,12,150,t,1.084242424,
59,65,76,t,1.088537021,
49,54,93,t,1.091288128,
77,85,84,t,1.091991342,
19,21,77,t,1.092276145,
66,73,173,t,1.100280259,
68,76,63,t,1.101774043,
55,61,143,t,1.102097902,
62,69,100,t,1.102903226,
60,67,127,t,1.108792651,
58,65,86,t,1.109061748,
35,40,32,t,1.111607143,
34,38,184,t,1.112212276,
38,43,67,t,1.116653574,
51,58,138,t,1.130008525,
61,73,15,t,1.130054645,
46,53,79,t,1.139515685,
59,68,127,l,1.144668357,
44,51,79,t,1.146432681,
56,65,71,t,1.146629779,
12,14,130,t,1.158974359,
22,26,77,t,1.168831169,
54,64,62,t,1.169056153,
17,20,155,t,1.170018975,
63,75,65,t,1.175091575,
68,81,89,t,1.179940516,
29,44,3,t,1.183908046,
62,75,44,t,1.186950147,
55,66,113,t,1.191150442,
53,64,85,t,1.195782464,
59,71,184,t,1.197955048,
22,27,70,t,1.212987013,
62,77,39,t,1.216294458,
56,69,111,t,1.223133848,
13,16,182,t,1.225274725,
56,69,149,t,1.225431448,
36,45,43,t,1.226744186,
56,70,51,t,1.230392157,
46,57,132,t,1.231554677,
61,76,73,t,1.232203009,
50,62,148,t,1.233243243,
44,55,128,t,1.2421875,
22,28,150,t,1.266060606,
18,23,116,t,1.269157088,
54,69,186,t,1.272401434,
50,64,148,t,1.273243243,
21,27,170,t,1.279831933,
16,21,33,t,1.28219697,
41,53,114,t,1.283910997,
34,44,101,t,1.284216657,
17,22,159,t,1.287828339,
13,17,183,t,1.302227827,
44,58,112,t,1.309253247,
33,44,142,t,1.32629108,
44,59,163,t,1.334774122,
26,36,31,t,1.35235732,
23,32,182,t,1.385809842,
28,41,164,t,1.458188153,
20,30,74,l,1.486486486,
16,24,90,t,1.488888889,
26,39,142,t,1.492957746,
15,23,59,t,1.516384181,
21,33,60,t,1.554761905,
11,18,136,t,1.629010695,
17,28,130,t,1.639366516,
12,21,167,t,1.744011976,
16,29,160,t,1.80625,
13,26,129,t,1.992248062,
15,30,162,t,1.99382716,
