"S,RT","R,RT",Mean RT(S),Mean RT(R),,
0.3689811,0.4988792,0.424632212,0.467908581,,
0.393294,0.6066103,Mean RT bin 1,Mean RT bin 2,Mean RT bin 3,Mean RT bin 4
0.4751928,0.4432356,0.49881032,0.416822258,0.406144032,0.377042037
0.765525,0.5517675,,,,
0.9134673,0.4330178,,,,
0.6546014,0.3827208,,,,
0.3193354,0.4619305,,,,
0.2648827,0.4524324,,,,
0.6903217,0.3662791,,,,
0.3783226,0.4456181,,,,
0.2950763,0.497591,,,,
0.3513606,0.3345077,,,,
0.3565073,0.3329252,,,,
0.322438,0.3558339,,,,
0.2778252,0.4284827,,,,
0.2970912,0.3422736,,,,
0.5846353,0.3356597,,,,
0.5893924,0.4691306,,,,
0.3161199,0.343258,,,,
0.9183065,0.3512298,,,,
0.4646252,0.5532541,,,,
0.5114302,0.440911,,,,
0.5071096,0.46898,,,,
0.6103479,0.2831763,,,,
0.511742,0.5475444,,,,
0.5616561,0.6669568,,,,
0.4123097,0.4565,,,,
0.5389354,0.4616589,,,,
0.6028275,0.4184578,,,,
0.523305,0.5681691,,,,
0.4949907,0.4337322,,,,
0.5870156,0.4088261,,,,
0.4968244,0.5204145,,,,
0.5549292,0.4406964,,,,
0.5462307,0.4339159,,,,
0.645599,0.6132967,,,,
0.4933889,0.5299482,,,,
0.8009321,0.4912462,,,,
0.3379963,0.4125337,,,,
0.2997578,0.3887366,,,,
0.4730941,0.6209795,,,,
0.4887782,0.4204988,,,,
0.3848576,0.4505429,,,,
0.5200575,0.5892583,,,,
0.5038413,0.4024158,,,,
0.3193389,0.4740243,,,,
0.5307581,0.3844621,,,,
0.5649221,0.3092685,,,,
0.5815567,0.5667248,,,,
0.4766013,0.4484329,,,,
0.5608905,0.6472818,,,,
0.3720767,0.4607487,,,,
0.4154207,0.4992474,,,,
0.3511252,0.4519939,,,,
0.3384301,0.4021735,,,,
0.5356144,0.3764288,,,,
0.3332035,0.3134266,,,,
0.3938713,0.4607407,,,,
0.4458636,0.5870817,,,,
0.5686466,0.5007465,,,,
0.362443,0.3587005,,,,
0.8361507,0.5252471,,,,
0.2923923,0.5157113,,,,
0.3998336,0.3855425,,,,
0.3420913,0.4491931,,,,
0.325095,0.4378461,,,,
0.3291886,0.905953,,,,
0.459991,0.4671712,,,,
0.2756019,0.4206965,,,,
0.2534779,0.374877,,,,
0.3697124,0.4395791,,,,
0.4764291,0.4182144,,,,
0.3750549,0.5308414,,,,
0.3095216,0.5411893,,,,
0.4002432,0.5455687,,,,
0.4164715,0.568819,,,,
0.3586065,0.7242596,,,,
0.4805024,0.4640061,,,,
0.3295672,0.5115732,,,,
0.3646731,0.4378199,,,,
0.3178809,0.4573647,,,,
0.3828873,0.3780445,,,,
0.4027519,0.6499186,,,,
0.4983809,0.611691,,,,
0.3301031,0.4150185,,,,
0.4944822,0.3506115,,,,
0.4435432,0.4137624,,,,
0.4163585,0.4658914,,,,
0.3585623,0.4899993,,,,
0.4241933,0.5370779,,,,
0.5077104,0.6627207,,,,
0.3487291,0.4673283,,,,
