key_resp.keys,key_resp.corr,tilt,key_resp.keys,key_resp.corr,tilt,key_resp.keys,key_resp.corr,tilt,key_resp.keys,key_resp.corr,tilt,,,
down,1,-5,up,1,0,down,0,0,up,0,-2,,hit proportion,0.911392405
down,1,-4,up,1,0,down,0,0,up,0,1,,fa propotion,0.274647887
down,1,3,up,1,0,down,0,0,up,0,1,,,
down,1,-5,up,1,0,down,0,0,up,0,3,,d.prime,1.948194952
down,1,1,up,1,0,down,0,0,up,0,-2,,criterion,-0.37528175
down,1,-3,up,1,0,down,0,0,up,0,-2,,,
down,1,-2,up,1,0,down,0,0,up,0,-2,,,
down,1,4,up,1,0,down,0,0,up,0,2,,,
down,1,4,up,1,0,down,0,0,up,0,1,,,
down,1,3,up,1,0,down,0,0,up,0,2,,,
down,1,3,up,1,0,down,0,0,up,0,-2,,,
down,1,-5,up,1,0,down,0,0,up,0,2,,,
down,1,1,up,1,0,down,0,0,up,0,-3,,,
down,1,2,up,1,0,down,0,0,up,0,-3,,,
down,1,-5,up,1,0,miss,14,,up,0,-2,,,
down,1,4,up,1,0,,,,up,0,-2,,,
down,1,-4,up,1,0,,,,up,0,-4,,,
down,1,4,up,1,0,,,,up,0,1,,,
down,1,3,up,1,0,,,,up,0,-2,,,
down,1,3,up,1,0,,,,up,0,1,,,
down,1,-4,up,1,0,,,,up,0,4,,,
down,1,-2,up,1,0,,,,up,0,3,,,
down,1,3,up,1,0,,,,up,0,1,,,
down,1,-5,up,1,0,,,,up,0,1,,,
down,1,3,up,1,0,,,,up,0,3,,,
down,1,-3,up,1,0,,,,up,0,4,,,
down,1,4,up,1,0,,,,up,0,2,,,
down,1,4,up,1,0,,,,up,0,1,,,
down,1,-2,up,1,0,,,,up,0,-2,,,
down,1,-4,up,1,0,,,,up,0,1,,,
down,1,4,up,1,0,,,,up,0,-3,,,
down,1,4,up,1,0,,,,up,0,-2,,,
down,1,-4,up,1,0,,,,up,0,1,,,
down,1,-3,up,1,0,,,,up,0,-3,,,
down,1,4,up,1,0,,,,up,0,2,,,
down,1,2,up,1,0,,,,up,0,3,,,
down,1,-4,up,1,0,,,,up,0,-2,,,
down,1,-4,up,1,0,,,,up,0,-2,,,
down,1,-5,up,1,0,,,,up,0,-2,,,
down,1,-4,up,1,0,,,,fa,39,,,,
down,1,-4,up,1,0,,,,,,,,,
down,1,4,up,1,0,,,,,,,,,
down,1,-4,up,1,0,,,,,,,,,
down,1,4,up,1,0,,,,,,,,,
down,1,4,up,1,0,,,,,,,,,
down,1,-5,up,1,0,,,,,,,,,
down,1,-2,up,1,0,,,,,,,,,
down,1,4,up,1,0,,,,,,,,,
